user_id,age,gender,travel_preferences,destination,duration,purpose,user_budget,actual_expenses,current_location_latitude,current_location_longitude,destination_latitude,destination_longitude,distance,current_cost_of_living_index,destination_cost_of_living_index,accommodation_type,accommodation_cost_per_night,transportation_mode,transportation_cost,daily_meal_expenses,average_restaurant_prices,planned_activities,weather_data,local_events
1,41,Male,adventure,Goa,30,business,₹15000,30098.04,30.292905,47.6479775,25.463597,94.6825,726096,226,975,hotel,₹1000,car,₹100,772.38,1491.13,sightseeing,cloudy,music festival
2,55,Male,adventure,Telangana,25,vacation,₹100,11308.75,25.31393,95.3900288,14.682929,87.3164,122886,961,231,vacation rental,₹2000,plane,₹500,83.79,5101.77,shopping,rainy,music festival
3,54,Female,relaxation,Manipur,7,family,₹5000,8384.31,30.476162,159.9728999,34.361992,90.2555,33935,691,664,hostel,₹2000,train,₹2000,829.98,1401.93,shopping,cloudy,art exhibition
4,38,Female,adventure,Kerala,3,vacation,₹35000,38901.13,20.812208,-76.5112471,18.12573,88.582,1495244,497,131,hotel,₹1000,train,₹1000,3.61,3052.67,vacation,rainy,art exhibition
5,49,Male,relaxation,Goa,4,vacation,₹10000,17386.41,18.34367,-84.38709,17.262588,89.3019,373961,929,59,vacation rental,₹500,car,₹100,461.96,3673.42,vacation,rainy,sports event
6,50,Male,cultural,Andhra Pradesh,24,vacation,₹100,24561.15,26.212162,2.8797149,26.584117,76.9935,683826,530,108,hotel,₹2000,train,₹500,84.13,1822.95,hiking,cloudy,music festival
7,36,Male,adventure,Manipur,3,family,₹5000,27873.55,28.567887,115.569092,16.745292,71.6102,1286935,191,735,vacation rental,₹100,car,₹2000,5.61,9050.49,vacation,sunny,art exhibition
8,79,Male,cultural,Sikkim,8,vacation,₹25000,9761.41,11.147979,-8.6888467,18.841226,71.1535,649106,617,412,hotel,₹500,car,₹500,21.24,9454.85,vacation,rainy,music festival
9,75,Female,adventure,Meghalaya,25,vacation,₹25000,41880.21,17.397323,-68.8605052,28.672418,87.3937,1343384,121,501,vacation rental,₹500,train,₹2000,991.38,8360.37,hiking,cloudy,sports event
10,57,Male,adventure,Maharashtra,11,business,₹50000,5100.36,24.619749,118.592707,35.274178,90.1771,86341,982,104,hotel,₹500,plane,₹100,685.1,8068.35,education,rainy,sports event
11,79,Female,cultural,Bihar,26,business,₹35000,24162.28,32.689081,113.300129,10.258733,73.0861,176707,526,989,hotel,₹1000,plane,₹2000,959.52,5083.01,vacation,cloudy,sports event
12,45,Male,relaxation,Maharashtra,27,family,₹50000,44534.41,8.911428,114.565109,19.794319,76.6198,262245,872,460,vacation rental,₹100,car,₹2000,869.42,6972.03,sightseeing,cloudy,art exhibition
13,68,Female,adventure,Mizoram,13,vacation,₹50000,15115.11,29.426282,124.6769673,21.56087,82.9437,669042,579,797,hotel,₹2000,plane,₹5000,259.13,4653.94,shopping,sunny,sports event
14,77,Female,relaxation,Gujarat,29,business,₹500,24885.2,31.319921,8.5144352,20.819215,85.1427,186196,652,410,vacation rental,₹2000,car,₹500,400.82,9925.04,hiking,sunny,sports event
15,43,Male,cultural,Madhya Pradesh,30,family,₹25000,29319.81,21.728432,-3.8553507,11.234218,73.0206,457238,864,412,hostel,₹100,car,₹1000,648.72,106.42,vacation,sunny,art exhibition
16,84,Male,adventure,Madhya Pradesh,7,family,₹100,34302.71,24.296551,122.1619663,12.343742,82.8807,1338111,931,571,hostel,₹500,car,₹100,90.6,5357.22,vacation,cloudy,art exhibition
17,70,Male,adventure,Haryana,22,business,₹50000,4213.77,22.300674,19.8369688,14.704527,86.7046,998551,540,832,vacation rental,₹100,plane,₹1000,767.9,6633.59,vacation,sunny,sports event
18,63,Male,adventure,Maharashtra,12,family,"",6758.36,11.91361,24.2948622,26.288733,78.6495,1327666,94,285,vacation rental,₹500,car,₹500,671.14,3102.42,sightseeing,rainy,music festival
19,74,Female,cultural,Mizoram,26,family,₹50000,48345.87,32.578876,17.1574569,17.059934,72.3261,497383,368,615,hostel,₹100,plane,₹2000,441.58,9109.65,vacation,rainy,sports event
20,41,Female,cultural,Assam,22,business,₹2000,2647.98,33.180147,13.7914633,21.576251,96.7437,697594,842,945,vacation rental,₹500,train,₹2000,62.75,8583.11,sightseeing,sunny,sports event
21,60,Male,cultural,Manipur,6,business,₹500,6874.72,13.380224,121.026941,12.96388,74.4132,709463,376,544,hostel,₹100,car,₹2000,635.99,4134.32,shopping,sunny,sports event
22,22,Female,cultural,Karnataka,21,business,₹1000,43611.52,26.14065,44.4955531,15.280043,84.7671,601081,522,285,hostel,₹1000,plane,₹100,176.27,1189.2,sightseeing,rainy,sports event
23,44,Male,cultural,Kerala,16,business,₹1000,24039.84,14.24458,-80.7023819,15.985863,95.2923,30997,832,739,vacation rental,₹100,car,₹100,106.51,2251.95,sightseeing,sunny,art exhibition
24,68,Male,adventure,Bihar,18,family,₹35000,47959.69,31.585605,88.7878678,33.424682,79.2497,154846,184,211,vacation rental,₹100,train,₹500,440.56,8597.38,sightseeing,rainy,art exhibition
25,56,Female,relaxation,Bihar,12,family,₹1000,44749.09,35.662773,82.433337,11.907765,79.6428,1343842,78,313,hotel,₹100,car,₹100,928.66,9546.98,shopping,cloudy,music festival
26,83,Male,relaxation,Uttar Pradesh,28,vacation,₹5000,49091.96,29.441455,-75.7255192,14.945636,70.956,428206,790,321,hostel,₹500,train,₹5000,343.87,7765.97,sightseeing,sunny,art exhibition
27,30,Female,cultural,Odisha,19,vacation,₹100,25301.57,30.747898,10.9469346,14.762751,93.8706,506662,549,830,hotel,₹2000,train,₹5000,145.1,474.42,vacation,cloudy,music festival
28,33,Female,cultural,Karnataka,14,vacation,"",43923.66,25.394363,97.654811,22.89849,69.6081,1020161,991,505,vacation rental,₹100,plane,₹1000,853.0,8439.85,education,cloudy,art exhibition
29,62,Male,cultural,Mizoram,23,family,₹35000,29924.0,11.386231,16.6212715,11.985645,72.0969,126870,889,72,vacation rental,₹1000,train,₹1000,851.19,4127.67,sightseeing,rainy,music festival
30,28,Male,adventure,Karnataka,15,business,₹35000,20093.77,30.920162,-8.8661993,11.545509,75.159,1096266,71,273,hotel,₹2000,plane,₹500,234.18,5541.25,education,cloudy,music festival
31,54,Male,cultural,Manipur,27,family,₹2000,27122.49,28.636426,44.9105417,28.498572,80.3512,329297,721,371,vacation rental,₹2000,car,₹2000,722.84,7979.34,vacation,rainy,sports event
32,47,Male,adventure,Kerala,4,family,₹10000,30444.07,14.654706,124.364153,29.243149,73.5212,292859,850,197,hostel,₹2000,train,₹500,840.91,8520.89,education,cloudy,sports event
33,78,Male,relaxation,Assam,9,family,₹5000,2334.66,30.399983,123.55867,17.638151,72.5323,66160,744,698,hotel,₹2000,train,₹500,292.19,5519.85,hiking,sunny,sports event
34,64,Male,adventure,Bihar,12,family,₹25000,11832.11,31.684288,101.951925,19.218667,88.7602,467864,156,662,hostel,₹2000,car,₹500,314.33,2082.24,vacation,rainy,music festival
35,21,Male,relaxation,Jharkhand,28,family,₹10000,34958.62,10.182614,-8.4162288,29.22433,69.4075,667729,125,710,hostel,₹1000,plane,₹1000,966.22,6178.56,shopping,sunny,art exhibition
36,75,Female,cultural,Jharkhand,11,vacation,₹15000,1005.78,24.951323,-74.97611,22.175725,85.8726,558625,473,314,vacation rental,₹100,plane,₹100,505.98,597.26,hiking,rainy,sports event
37,75,Male,adventure,Haryana,12,business,₹100,43028.39,22.004776,111.2874835,33.340227,95.7611,1342434,40,467,hostel,₹500,car,₹1000,475.93,3538.42,education,cloudy,art exhibition
38,29,Polygender,cultural,Manipur,13,business,₹35000,18311.09,16.231555,37.553869,13.849658,73.3642,323626,930,234,hostel,₹1000,car,₹5000,370.54,2868.32,education,sunny,sports event
39,39,Female,cultural,Madhya Pradesh,27,family,₹500,18512.44,22.964786,14.524558,28.58522,82.3133,1137349,868,876,vacation rental,₹500,train,₹100,378.35,7424.91,sightseeing,sunny,art exhibition
40,35,Female,relaxation,Meghalaya,3,family,₹25000,46068.09,34.401047,-14.769285,13.179008,71.3662,359386,584,593,hostel,₹2000,car,₹1000,8.81,6561.22,education,cloudy,art exhibition
41,59,Female,cultural,Haryana,10,vacation,₹500,3515.94,31.675784,42.8212218,21.865479,69.2292,1136596,338,383,hostel,₹100,train,₹5000,620.08,6222.38,sightseeing,cloudy,music festival
42,57,Genderfluid,cultural,Andhra Pradesh,7,family,₹35000,26899.72,28.29571,47.2432976,9.808089,74.4404,1467384,549,389,hotel,₹100,car,₹5000,459.84,3629.37,shopping,sunny,sports event
43,51,Male,adventure,Assam,12,family,₹100,39104.36,33.344026,106.7012968,10.268608,79.3321,974386,8,720,hostel,₹500,car,₹1000,388.93,3284.4,shopping,rainy,art exhibition
44,49,Female,adventure,Rajasthan,13,family,₹500,23446.55,20.830434,134.1164564,33.415868,70.3582,1440180,487,610,hotel,₹500,car,₹5000,195.95,7910.74,sightseeing,cloudy,music festival
45,29,Female,relaxation,Manipur,9,business,₹35000,6641.16,26.384696,12.7364962,32.482715,81.3463,117654,547,273,hotel,₹500,train,₹100,230.79,1431.68,shopping,cloudy,art exhibition
46,64,Male,cultural,Kerala,27,business,₹25000,13352.03,26.984793,-9.0097102,32.306319,84.3672,28929,762,553,hostel,₹500,car,₹5000,109.14,612.97,education,sunny,sports event
47,35,Male,relaxation,Jharkhand,27,vacation,₹10000,8554.99,24.642061,-37.4894776,20.326411,72.1755,774338,419,955,hotel,₹500,train,₹2000,782.73,3713.78,shopping,cloudy,art exhibition
48,57,Female,adventure,Meghalaya,24,family,₹5000,39789.24,10.276074,-56.4488086,20.723062,87.7871,697008,876,998,vacation rental,₹1000,plane,₹2000,183.23,8845.72,shopping,sunny,art exhibition
49,33,Male,adventure,Meghalaya,17,family,₹2000,44740.24,22.229154,30.734995,12.488932,73.1973,240393,679,155,vacation rental,₹1000,train,₹100,814.02,8252.07,education,rainy,music festival
50,58,Male,adventure,Mizoram,21,vacation,₹100,16564.02,29.502453,35.48084,31.127201,93.0327,1301765,685,291,hostel,₹100,train,₹5000,154.12,3807.36,education,sunny,art exhibition
51,18,Male,relaxation,Kerala,25,business,₹100,43003.81,13.678276,106.763842,13.06327,88.6785,329275,75,60,vacation rental,₹1000,train,₹500,343.62,7555.12,sightseeing,cloudy,music festival
52,61,Male,adventure,Telangana,24,vacation,₹50000,1319.26,16.684792,21.3869552,12.967701,91.4108,956054,136,706,hostel,₹1000,train,₹100,739.9,6899.86,education,rainy,music festival
53,71,Female,adventure,Maharashtra,30,vacation,₹10000,39232.6,22.067865,39.5170628,27.606355,74.4814,12325,48,180,vacation rental,₹100,plane,₹5000,108.72,8560.74,vacation,rainy,art exhibition
54,50,Male,adventure,Meghalaya,4,family,₹35000,48396.66,36.426223,120.9638841,15.366017,94.7031,1083325,684,401,vacation rental,₹1000,car,₹500,129.37,8538.98,hiking,rainy,sports event
55,29,Male,cultural,Gujarat,2,family,₹15000,14867.4,12.698586,106.8104633,12.766443,70.7712,128771,612,579,hostel,₹2000,car,₹2000,571.26,1761.72,shopping,cloudy,music festival
