age,gender,travel_preferences,destination,duration,purpose,user_budget,actual_expenses,current_location_latitude,current_location_longitude,destination_latitude,destination_longitude,distance,current_cost_of_living_index,destination_cost_of_living_index,accommodation_type,accommodation_cost_per_night,transportation_mode,transportation_cost,daily_meal_expenses,average_restaurant_prices,planned_activities,weather_data,local_events
41,5,0,Goa,30,0,15000.0,30098.04,30.292905,47.6479775,25.463597,94.6825,726096,226,975,1,1000.0,0,100.0,772.38,1491.13,sightseeing,cloudy,music festival
55,5,0,Telangana,25,2,100.0,11308.75,25.31393,95.3900288,14.682929,87.3164,122886,961,231,2,2000.0,1,500.0,83.79,5101.77,shopping,rainy,music festival
54,2,2,Manipur,7,1,5000.0,8384.31,30.476162,159.9728999,34.361992,90.2555,33935,691,664,0,2000.0,2,2000.0,829.98,1401.93,shopping,cloudy,art exhibition
38,2,0,Kerala,3,2,35000.0,38901.13,20.812208,-76.5112471,18.12573,88.582,1495244,497,131,1,1000.0,2,1000.0,3.61,3052.67,vacation,rainy,art exhibition
49,5,2,Goa,4,2,10000.0,17386.41,18.34367,-84.38709,17.262588,89.3019,373961,929,59,2,500.0,0,100.0,461.96,3673.42,vacation,rainy,sports event
50,5,1,Andhra Pradesh,24,2,100.0,24561.15,26.212162,2.8797149,26.584117,76.9935,683826,530,108,1,2000.0,2,500.0,84.13,1822.95,hiking,cloudy,music festival
36,5,0,Manipur,3,1,5000.0,27873.55,28.567887,115.569092,16.745292,71.6102,1286935,191,735,2,100.0,0,2000.0,5.61,9050.49,vacation,sunny,art exhibition
79,5,1,Sikkim,8,2,25000.0,9761.41,11.147979,-8.6888467,18.841226,71.1535,649106,617,412,1,500.0,0,500.0,21.24,9454.85,vacation,rainy,music festival
75,2,0,Meghalaya,25,2,25000.0,41880.21,17.397323,-68.8605052,28.672418,87.3937,1343384,121,501,2,500.0,2,2000.0,991.38,8360.37,hiking,cloudy,sports event
57,5,0,Maharashtra,11,0,50000.0,5100.36,24.619749,118.592707,35.274178,90.1771,86341,982,104,1,500.0,1,100.0,685.1,8068.35,education,rainy,sports event
79,2,1,Bihar,26,0,35000.0,24162.28,32.689081,113.300129,10.258733,73.0861,176707,526,989,1,1000.0,1,2000.0,959.52,5083.01,vacation,cloudy,sports event
45,5,2,Maharashtra,27,1,50000.0,44534.41,8.911428,114.565109,19.794319,76.6198,262245,872,460,2,100.0,0,2000.0,869.42,6972.03,sightseeing,cloudy,art exhibition
68,2,0,Mizoram,13,2,50000.0,15115.11,29.426282,124.6769673,21.56087,82.9437,669042,579,797,1,2000.0,1,5000.0,259.13,4653.94,shopping,sunny,sports event
77,2,2,Gujarat,29,0,500.0,24885.2,31.319921,8.5144352,20.819215,85.1427,186196,652,410,2,2000.0,0,500.0,400.82,9925.04,hiking,sunny,sports event
43,5,1,Madhya Pradesh,30,1,25000.0,29319.81,21.728432,-3.8553507,11.234218,73.0206,457238,864,412,0,100.0,0,1000.0,648.72,106.42,vacation,sunny,art exhibition
